treatment	plot	label	FRB	depth	month	season
CT	1	FRB5cmMar13	181.5	5	Mar	dry
LA	2	FRB5cmMar13	161	5	Mar	dry
LA	3	FRB5cmMar13	163.9	5	Mar	dry
LR	4	FRB5cmMar13	126.5	5	Mar	dry
CT	5	FRB5cmMar13	161.3	5	Mar	dry
LR	6	FRB5cmMar13	224.1	5	Mar	dry
CT	7	FRB5cmMar13	204	5	Mar	dry
LR	8	FRB5cmMar13	139.7	5	Mar	dry
LA	9	FRB5cmMar13	130.1	5	Mar	dry
LA	10	FRB5cmMar13	217.2	5	Mar	dry
CT	11	FRB5cmMar13	179.7	5	Mar	dry
LR	12	FRB5cmMar13	164.4	5	Mar	dry
LR	13	FRB5cmMar13	98.4	5	Mar	dry
LA	14	FRB5cmMar13	110.2	5	Mar	dry
CT	15	FRB5cmMar13	179.4	5	Mar	dry
CT	1	FRB5cmApr13	263.1	5	Apr	dry
LA	2	FRB5cmApr13	282.7	5	Apr	dry
LA	3	FRB5cmApr13	178.4	5	Apr	dry
LR	4	FRB5cmApr13	125.5	5	Apr	dry
CT	5	FRB5cmApr13	241.9	5	Apr	dry
LR	6	FRB5cmApr13	265.1	5	Apr	dry
CT	7	FRB5cmApr13	313.9	5	Apr	dry
LR	8	FRB5cmApr13	220.6	5	Apr	dry
LA	9	FRB5cmApr13	208.8	5	Apr	dry
LA	10	FRB5cmApr13	237.6	5	Apr	dry
CT	11	FRB5cmApr13	210.7	5	Apr	dry
LR	12	FRB5cmApr13	181	5	Apr	dry
LR	13	FRB5cmApr13	141.2	5	Apr	dry
LA	14	FRB5cmApr13	289.1	5	Apr	dry
CT	15	FRB5cmApr13	259	5	Apr	dry
CT	1	FRB5cmMay13	258.9	5	May	wet
LA	2	FRB5cmMay13	226.3	5	May	wet
LA	3	FRB5cmMay13	169.4	5	May	wet
LR	4	FRB5cmMay13	186.4	5	May	wet
CT	5	FRB5cmMay13	269.8	5	May	wet
LR	6	FRB5cmMay13	161.8	5	May	wet
CT	7	FRB5cmMay13	251.4	5	May	wet
LR	8	FRB5cmMay13	240.9	5	May	wet
LA	9	FRB5cmMay13	171.7	5	May	wet
LA	10	FRB5cmMay13	237.4	5	May	wet
CT	11	FRB5cmMay13	176.6	5	May	wet
LR	12	FRB5cmMay13	202.9	5	May	wet
LR	13	FRB5cmMay13	110	5	May	wet
LA	14	FRB5cmMay13	265.6	5	May	wet
CT	15	FRB5cmMay13	336.6	5	May	wet
CT	1	FRB5cmJun13	327.6	5	Jun	wet
LA	2	FRB5cmJun13	191	5	Jun	wet
LA	3	FRB5cmJun13	238.9	5	Jun	wet
LR	4	FRB5cmJun13	113.2	5	Jun	wet
